2013-Volume 37
Issues 1-2
Amel Ben Abda, Imen Ben Saad, Maatoug Hassine 	Recovering boundary data: The Cauchy Stokes system
A. El-Gohary, Ahmad Alshamrani, Adel Naif Al-Otaibi 	The generalized Gompertz distribution
Farhad Hosseinzadeh Lotfi, Mohsen Rostamy-Malkhalifeh, Nazila Aghayi, Zahra Ghelej Beigi, Kobra Gholami 	An improved method for ranking alternatives in multiple criteria decision analysis
C. Veeramani, R.J. 	Spiteri Modeling and simulation of the CLS cryogenic system
Parham A. Mirzaei, Manouchehr Rad 	Toward design and fabrication of wind-driven vehicles: Procedure to optimize the threshold of driving forces
Milad Gorji Ashtiani, Ahmad Makui, Reza Ramezanian 	A robust model for a leader–follower competitive facility location problem in a discrete space
Jun Huang, Zhengzhi Han 	Adaptive non-fragile observer design for the uncertain Lur’e differential inclusion system
Saeed-Reza Sabbagh-Yazdi, Tayebeh Amiri-SaadatAbadi	GFV solution on UTE mesh for transient modeling of concrete aging effects on thermal plane strains during construction of gravity dam
Sookyun Wang, Jung Hyun Choi	Simulating fate and transport of chromium in saturated sediments
Zhongliang Yue	An avoiding information loss approach to group decision making
S. Cheng, J.C. Ji, J. Zhou	Fast synchronization of directionally coupled chaotic systems
Union H.-N. Huynh, Neale L. Fulton	Aircraft proximity termination conditions in the planar turn centric modes
R.K. Mohanty, M.K. Jain, Deepika Dhall	High accuracy cubic spline approximation for two dimensional quasi-linear elliptic boundary value problems
M.S. Malashetty, Premila Kollur, W. Sidram 	Effect of rotation on the onset of double diffusive convection in a Darcy porous medium saturated with a couple stress fluid
Hongwei Jiao, Zhankui Wang, Yongqiang Chen	Global optimization algorithm for sum of generalized polynomial ratios problem
M.A. Doheim, A.F. Abdel Gawad, G.M.A. Mahran, M.H. Abu-Ali, A.M. Rizk	Numerical simulation of particulate-flow in spiral separators: Part I. Low solids concentration (0.3% & 3% solids)
G. Tohidi, S. Razavyan	A circular global profit Malmquist productivity index in data envelopment analysis
S. Tariverdilo, M. Shahmardani, J. Mirzapour, R. Shabani	Asymmetric free vibration of circular plate in contact with incompressible fluid
A. Guria, B. Das, S. Mondal, M. Maiti	Inventory policy for an item with inflation induced purchasing price, selling price and demand with immediate part payment
A.Y. Bani Hashim, N.A. Abu Osman, W.A.B. Wan Abas, L. Abdul Latif Approximating the relationship among the degree of the reaction forces and the nodes on footprint during a stance phase
R.T. Faal, A.R. Pasrad, A.S. Milani	Anti-plane stress analysis of dissimilar sectors with multiple defects
K. Muralidharan, Sridhar Muddada, B.S.V. Patnaik	Numerical simulation of vortex induced vibrations and its control by suction and blowing
Chin-Chih Chang, Shey-Huei Sheu, Yen-Luan Chen	Optimal replacement model with age-dependent failure type based on a cumulative repair-cost limit policy
Jian Wu, Qing-wei Cao	Same families of geometric aggregation operators with intuitionistic trapezoidal fuzzy numbers
Majid Ramezani, Mahdi Bashiri, Reza Tavakkoli-Moghaddam	A new multi-objective stochastic model for a forward/reverse logistic network design with responsiveness and quality level
Wen-Xiu Li, Sheng-Jie Liu, Ji-Fei Li, Zhan-Hua Ji, ... Xia Yin	Ground movement analysis in deep iron mine using fuzzy probability theory
A.R. Khoei, M. Eghbalian, H. Moslemi, H. Azadi	Crack growth modeling via 3D automatic adaptive mesh refinement based on modified-SPR technique
Deepak Kumar, Vivek Kumar, V.P. Singh	Modeling and dynamic simulation of mixed feed multi-effect evaporators in paper industry
Majid Zerafat Angiz, Adli Mustafa, Mohammad Jalal Kamali	Cross-ranking of Decision Making Units in Data Envelopment Analysis
D.W. Grimble, S. Theodossiades, H. Rahnejat, M. Wilby	Thin film tribology of pharmaceutical elastomeric seals
B. Boubir, H. Triki, A.M. Wazwaz	Bright solitons of the variants of the Novikov–Veselov equation with constant and variable coefficients
M. Heydari, Z. Avazzadeh, H. Navabpour, G.B. Loghmani	Numerical solution of Fredholm integral equations of the second kind by using integral mean value theorem II. High dimensional problems
A.R. Khoei, S.O.R. Biabanaki, S.M. Parvaneh	3D dynamic modeling of powder forming processes via a simple and efficient node-to-surface contact algorithm
Manik Chandra Singh, Nilratan Chakraborty	Reflection and refraction of P-, SV- and thermal wave, at an initially stressed solid–liquid interface in generalized thermoelasticity
Yanjun Liu, Feng Ding	Convergence properties of the least squares estimation algorithm for multivariable systems
Xu Wang	On a partially debonded rigid line inclusion penetrating a circular inhomogeneity
Hua Wang, Dingguo Pu	A nonmonotone filter trust region method for the system of nonlinear equations
Mazaher Salamat-talab, Farhad Shahabi, Abbas Assadi	Size dependent analysis of functionally graded microbeams using strain gradient elasticity incorporated with surface energy
Sofen K. Jena, Swarup K. Mahapatra	Numerical modeling of interaction between surface radiation and natural convection of atmospheric aerosol in presence of transverse magnetic field
Mingliang Zhang, C.W. Li, Yongming Shen	Depth-averaged modeling of free surface flows in open channels with emerged and submerged vegetation
K. Davey, R. Prosser	Analytical solutions for heat transfer on fractal and pre-fractal domains
H. Saghi, M.J. Ketabdari, M. Zamirian	A novel algorithm based on parameterization method for calculation of curvature of the free surface flows
